Date,Open,High,Low,Close,Adj Close,Volume
2014-03-04,3.590000,3.630000,3.570000,3.590000,3.546287,46844000
2014-03-05,3.610000,3.630000,3.550000,3.550000,3.506773,89015600
2014-03-06,3.550000,3.580000,3.510000,3.560000,3.516652,46961200
2014-03-07,3.590000,3.600000,3.510000,3.510000,3.467261,26457100
2014-03-10,3.510000,3.530000,3.450000,3.470000,3.427748,61429900
2014-03-11,3.490000,3.500000,3.430000,3.430000,3.388235,38909600
2014-03-12,3.430000,3.450000,3.370000,3.390000,3.348722,84507100
2014-03-13,3.410000,3.430000,3.360000,3.370000,3.328965,46920400
2014-03-14,3.360000,3.520000,3.350000,3.440000,3.398113,299951500
2014-03-17,3.490000,3.490000,3.390000,3.420000,3.378356,50084600
2014-03-18,3.430000,3.440000,3.380000,3.390000,3.348722,54984800
2014-03-19,3.390000,3.440000,3.380000,3.400000,3.358601,58991700
2014-03-20,3.400000,3.400000,3.360000,3.360000,3.319087,44942000
2014-03-21,3.380000,3.400000,3.350000,3.350000,3.309209,66181900
2014-03-24,3.360000,3.360000,3.220000,3.260000,3.220304,136028700
2014-03-25,3.270000,3.300000,3.090000,3.170000,3.131401,182433100
2014-03-26,3.220000,3.250000,3.150000,3.160000,3.121522,97461600
2014-03-27,3.150000,3.200000,3.090000,3.130000,3.091888,78456900
2014-03-28,3.160000,3.210000,3.150000,3.160000,3.121522,52809700
2014-03-31,3.180000,3.210000,3.150000,3.200000,3.161035,67069000
2014-04-01,3.200000,3.240000,3.190000,3.240000,3.200548,64986800
2014-04-02,3.270000,3.360000,3.260000,3.340000,3.299331,167444200
2014-04-03,3.360000,3.400000,3.260000,3.280000,3.240062,76572000
2014-04-04,3.320000,3.340000,3.200000,3.200000,3.161035,62757200
2014-04-07,3.200000,3.210000,3.110000,3.120000,3.082010,81414300
2014-04-08,3.140000,3.150000,3.060000,3.070000,3.032618,137591800
2014-04-09,3.080000,3.160000,3.080000,3.140000,3.101766,147610200
2014-04-10,3.130000,3.180000,3.050000,3.100000,3.062253,123069900
2014-04-11,3.130000,3.240000,3.100000,3.160000,3.121522,89953700
2014-04-14,3.190000,3.200000,3.100000,3.130000,3.091888,50196800
2014-04-15,3.130000,3.140000,3.000000,3.090000,3.052375,94756900
2014-04-16,3.090000,3.170000,3.090000,3.170000,3.131401,50215100
2014-04-17,3.170000,3.190000,3.130000,3.140000,3.101766,34473100
2014-04-21,3.140000,3.210000,3.140000,3.190000,3.151157,34069900
2014-04-22,3.200000,3.240000,3.190000,3.220000,3.180792,40950200
2014-04-23,3.220000,3.240000,3.160000,3.170000,3.131401,39358400
2014-04-24,3.190000,3.250000,3.120000,3.200000,3.161035,104334500
2014-04-25,3.180000,3.180000,3.080000,3.120000,3.082010,65156700
